date,year,month,hr,weekday,workingday,season,weathersit,cnt,registered,casual,temp,hum,windspeed,holiday
2011-01-01,2011,Jan,19,Saturday,0,Spring,Light Snow/Rain,37,31,6,17.22,88.0,16.997899999999998,Holiday
2011-01-01,2011,Jan,20,Saturday,0,Spring,Cloudy,36,25,11,16.400000000000002,87.0,16.997899999999998,Holiday
2011-01-01,2011,Jan,21,Saturday,0,Spring,Cloudy,34,31,3,16.400000000000002,87.0,12.998000000000001,Holiday
2011-01-01,2011,Jan,22,Saturday,0,Spring,Cloudy,28,17,11,16.400000000000002,94.0,15.001299999999999,Holiday
2011-01-01,2011,Jan,23,Saturday,0,Spring,Cloudy,39,24,15,18.86,88.0,19.999499999999998,Holiday
2011-01-02,2011,Jan,0,Sunday,0,Spring,Cloudy,17,13,4,18.86,88.0,19.999499999999998,Holiday
2011-01-02,2011,Jan,1,Sunday,0,Spring,Cloudy,17,16,1,18.04,94.0,16.997899999999998,Holiday
2011-01-02,2011,Jan,2,Sunday,0,Spring,Cloudy,9,8,1,17.22,100.0,19.0012,Holiday
2011-01-02,2011,Jan,3,Sunday,0,Spring,Cloudy,6,4,2,18.86,94.0,12.998000000000001,Holiday
2011-01-02,2011,Jan,4,Sunday,0,Spring,Cloudy,3,1,2,18.86,94.0,12.998000000000001,Holiday
2011-01-02,2011,Jan,6,Sunday,0,Spring,Light Snow/Rain,2,2,0,17.22,77.0,19.999499999999998,Holiday
2011-01-02,2011,Jan,7,Sunday,0,Spring,Cloudy,1,1,0,16.400000000000002,76.0,12.998000000000001,Holiday
2011-01-02,2011,Jan,8,Sunday,0,Spring,Light Snow/Rain,8,8,0,16.400000000000002,71.0,15.001299999999999,Holiday
2011-01-02,2011,Jan,9,Sunday,0,Spring,Cloudy,20,19,1,15.58,76.0,15.001299999999999,Holiday
2011-01-02,2011,Jan,10,Sunday,0,Spring,Cloudy,53,46,7,14.76,81.0,15.001299999999999,Holiday
2011-01-02,2011,Jan,11,Sunday,0,Spring,Cloudy,70,54,16,14.76,71.0,16.997899999999998,Holiday
2011-01-02,2011,Jan,12,Sunday,0,Spring,Cloudy,93,73,20,14.76,66.0,19.999499999999998,Holiday
2011-01-02,2011,Jan,13,Sunday,0,Spring,Cloudy,75,64,11,14.76,66.0,8.9981,Holiday
2011-01-02,2011,Jan,14,Sunday,0,Spring,Light Snow/Rain,59,55,4,14.76,76.0,12.998000000000001,Holiday
2011-01-02,2011,Jan,15,Sunday,0,Spring,Light Snow/Rain,74,55,19,13.940000000000001,81.0,11.0014,Holiday
2011-01-02,2011,Jan,16,Sunday,0,Spring,Light Snow/Rain,76,67,9,13.940000000000001,71.0,11.0014,Holiday
2011-01-02,2011,Jan,17,Sunday,0,Spring,Clear,65,58,7,13.940000000000001,56.99999999999999,12.998000000000001,Holiday
2011-01-02,2011,Jan,18,Sunday,0,Spring,Cloudy,53,43,10,14.76,46.0,22.0028,Holiday
2011-01-02,2011,Jan,19,Sunday,0,Spring,Clear,30,29,1,13.120000000000001,42.0,30.002599999999997,Holiday
2011-01-02,2011,Jan,20,Sunday,0,Spring,Clear,22,17,5,12.299999999999999,39.0,23.9994,Holiday
2011-01-02,2011,Jan,21,Sunday,0,Spring,Clear,31,20,11,10.66,44.0,22.0028,Holiday
2011-01-02,2011,Jan,22,Sunday,0,Spring,Clear,9,9,0,9.84,44.0,19.999499999999998,Holiday
2011-01-02,2011,Jan,23,Sunday,0,Spring,Clear,8,8,0,9.02,47.0,11.0014,Holiday
2011-01-03,2011,Jan,0,Monday,1,Spring,Clear,5,5,0,9.02,44.0,23.9994,Holiday
2011-01-03,2011,Jan,1,Monday,1,Spring,Clear,2,2,0,8.200000000000001,44.0,27.999299999999998,Holiday
2011-01-03,2011,Jan,4,Monday,1,Spring,Clear,1,1,0,6.5600000000000005,47.0,26.0027,Holiday
2011-01-03,2011,Jan,5,Monday,1,Spring,Clear,3,3,0,6.5600000000000005,47.0,19.0012,Holiday
2011-01-03,2011,Jan,6,Monday,1,Spring,Clear,30,30,0,5.74,50.0,26.0027,Holiday
2011-01-03,2011,Jan,7,Monday,1,Spring,Clear,64,63,1,5.74,50.0,12.998000000000001,Holiday
2011-01-03,2011,Jan,8,Monday,1,Spring,Clear,154,153,1,5.74,50.0,19.0012,Holiday
2011-01-03,2011,Jan,9,Monday,1,Spring,Clear,88,81,7,6.5600000000000005,43.0,26.0027,Holiday
2011-01-03,2011,Jan,10,Monday,1,Spring,Clear,44,33,11,7.38,43.0,16.997899999999998,Holiday
2011-01-03,2011,Jan,11,Monday,1,Spring,Clear,51,41,10,8.200000000000001,40.0,22.0028,Holiday
2011-01-03,2011,Jan,12,Monday,1,Spring,Clear,61,48,13,9.02,35.0,19.999499999999998,Holiday
2011-01-03,2011,Jan,13,Monday,1,Spring,Clear,61,53,8,9.84,35.0,19.0012,Holiday
2011-01-03,2011,Jan,14,Monday,1,Spring,Clear,77,66,11,10.66,30.0,19.0012,Holiday
2011-01-03,2011,Jan,15,Monday,1,Spring,Clear,72,58,14,10.66,30.0,16.997899999999998,Holiday
2011-01-03,2011,Jan,16,Monday,1,Spring,Clear,76,67,9,10.66,30.0,16.997899999999998,Holiday
2011-01-03,2011,Jan,17,Monday,1,Spring,Clear,157,146,11,9.84,30.0,15.001299999999999,Holiday
2011-01-03,2011,Jan,18,Monday,1,Spring,Clear,157,148,9,9.84,32.0,7.0015,Holiday
2011-01-03,2011,Jan,19,Monday,1,Spring,Clear,110,102,8,8.200000000000001,47.0,0.0,Holiday
2011-01-03,2011,Jan,20,Monday,1,Spring,Clear,52,49,3,8.200000000000001,47.0,7.0015,Holiday
2011-01-03,2011,Jan,21,Monday,1,Spring,Clear,52,49,3,7.38,64.0,8.9981,Holiday
2011-01-03,2011,Jan,22,Monday,1,Spring,Clear,20,20,0,5.74,69.0,8.9981,Holiday
2011-01-03,2011,Jan,23,Monday,1,Spring,Clear,12,11,1,7.38,55.00000000000001,7.0015,Holiday
2011-01-04,2011,Jan,0,Tuesday,1,Spring,Clear,5,5,0,6.5600000000000005,55.00000000000001,7.0015,Holiday
2011-01-04,2011,Jan,1,Tuesday,1,Spring,Clear,2,2,0,6.5600000000000005,59.0,7.0015,Holiday
2011-01-04,2011,Jan,2,Tuesday,1,Spring,Clear,1,1,0,5.74,63.0,8.9981,Holiday
2011-01-04,2011,Jan,4,Tuesday,1,Spring,Clear,2,2,0,5.74,63.0,6.0032,Holiday
2011-01-04,2011,Jan,5,Tuesday,1,Spring,Clear,4,4,0,4.92,68.0,7.0015,Holiday
2011-01-04,2011,Jan,6,Tuesday,1,Spring,Clear,36,36,0,4.92,74.0,7.0015,Holiday
2011-01-04,2011,Jan,7,Tuesday,1,Spring,Clear,94,92,2,4.92,74.0,8.9981,Holiday
2011-01-04,2011,Jan,8,Tuesday,1,Spring,Clear,179,177,2,5.74,69.0,11.0014,Holiday
2011-01-04,2011,Jan,9,Tuesday,1,Spring,Clear,100,98,2,6.5600000000000005,64.0,15.001299999999999,Holiday
2011-01-04,2011,Jan,10,Tuesday,1,Spring,Cloudy,42,37,5,6.5600000000000005,69.0,22.0028,Holiday
2011-01-04,2011,Jan,11,Tuesday,1,Spring,Clear,57,50,7,9.02,51.0,19.999499999999998,Holiday
2011-01-04,2011,Jan,12,Tuesday,1,Spring,Clear,78,66,12,9.02,51.0,11.0014,Holiday
2011-01-04,2011,Jan,13,Tuesday,1,Spring,Clear,97,79,18,9.84,56.00000000000001,12.998000000000001,Holiday
2011-01-04,2011,Jan,14,Tuesday,1,Spring,Clear,63,54,9,10.66,52.0,15.001299999999999,Holiday
2011-01-04,2011,Jan,15,Tuesday,1,Spring,Clear,65,48,17,11.48,52.0,16.997899999999998,Holiday
2011-01-04,2011,Jan,16,Tuesday,1,Spring,Clear,83,68,15,12.299999999999999,49.0,16.997899999999998,Holiday
2011-01-04,2011,Jan,17,Tuesday,1,Spring,Clear,212,202,10,11.48,48.0,15.001299999999999,Holiday
2011-01-04,2011,Jan,18,Tuesday,1,Spring,Clear,182,179,3,10.66,48.0,12.998000000000001,Holiday
2011-01-04,2011,Jan,19,Tuesday,1,Spring,Clear,112,110,2,9.84,48.0,7.0015,Holiday
2011-01-04,2011,Jan,20,Tuesday,1,Spring,Clear,54,53,1,9.84,48.0,7.0015,Holiday
2011-01-04,2011,Jan,21,Tuesday,1,Spring,Clear,48,48,0,9.02,64.0,0.0,Holiday
2011-01-04,2011,Jan,22,Tuesday,1,Spring,Clear,35,34,1,9.02,64.0,6.0032,Holiday
2011-01-04,2011,Jan,23,Tuesday,1,Spring,Clear,11,9,2,8.200000000000001,69.0,6.0032,Holiday
2011-01-05,2011,Jan,0,Wednesday,1,Spring,Clear,6,6,0,8.200000000000001,64.0,0.0,Holiday
2011-01-05,2011,Jan,1,Wednesday,1,Spring,Clear,6,6,0,6.5600000000000005,74.0,6.0032,Holiday
2011-01-05,2011,Jan,2,Wednesday,1,Spring,Clear,2,2,0,6.5600000000000005,74.0,6.0032,Holiday
2011-01-05,2011,Jan,4,Wednesday,1,Spring,Clear,2,2,0,9.84,48.0,15.001299999999999,Holiday
2011-01-05,2011,Jan,5,Wednesday,1,Spring,Clear,3,3,0,9.02,47.0,11.0014,Holiday
2011-01-05,2011,Jan,6,Wednesday,1,Spring,Clear,33,33,0,8.200000000000001,47.0,15.001299999999999,Holiday
2011-01-05,2011,Jan,7,Wednesday,1,Spring,Clear,88,87,1,7.38,43.0,12.998000000000001,Holiday
2011-01-05,2011,Jan,8,Wednesday,1,Spring,Clear,195,192,3,8.200000000000001,40.0,19.999499999999998,Holiday
2011-01-05,2011,Jan,9,Wednesday,1,Spring,Clear,115,109,6,9.02,37.0,22.0028,Holiday
2011-01-05,2011,Jan,10,Wednesday,1,Spring,Clear,57,53,4,9.02,37.0,22.0028,Holiday
2011-01-05,2011,Jan,11,Wednesday,1,Spring,Clear,46,34,12,10.66,33.0,22.0028,Holiday
2011-01-05,2011,Jan,12,Wednesday,1,Spring,Clear,79,74,5,10.66,33.0,22.0028,Holiday
2011-01-05,2011,Jan,13,Wednesday,1,Spring,Clear,71,65,6,11.48,30.0,19.999499999999998,Holiday
2011-01-05,2011,Jan,14,Wednesday,1,Spring,Clear,62,52,10,12.299999999999999,28.000000000000004,12.998000000000001,Holiday
2011-01-05,2011,Jan,15,Wednesday,1,Spring,Clear,62,55,7,12.299999999999999,28.000000000000004,12.998000000000001,Holiday
2011-01-05,2011,Jan,16,Wednesday,1,Spring,Clear,89,85,4,12.299999999999999,28.000000000000004,6.0032,Holiday
2011-01-05,2011,Jan,17,Wednesday,1,Spring,Clear,190,186,4,9.84,38.0,12.998000000000001,Holiday
2011-01-05,2011,Jan,18,Wednesday,1,Spring,Clear,169,166,3,9.84,38.0,8.9981,Holiday
2011-01-05,2011,Jan,19,Wednesday,1,Spring,Clear,132,127,5,9.84,38.0,7.0015,Holiday
2011-01-05,2011,Jan,20,Wednesday,1,Spring,Clear,89,82,7,9.02,47.0,11.0014,Holiday
2011-01-05,2011,Jan,21,Wednesday,1,Spring,Clear,43,40,3,8.200000000000001,51.0,12.998000000000001,Holiday
2011-01-05,2011,Jan,22,Wednesday,1,Spring,Clear,42,41,1,7.38,55.00000000000001,8.9981,Holiday
2011-01-05,2011,Jan,23,Wednesday,1,Spring,Clear,19,18,1,8.200000000000001,47.0,0.0,Holiday
2011-01-06,2011,Jan,0,Thursday,1,Spring,Clear,11,11,0,7.38,55.00000000000001,0.0,Holiday
2011-01-06,2011,Jan,1,Thursday,1,Spring,Clear,4,4,0,6.5600000000000005,64.0,0.0,Holiday
2011-01-06,2011,Jan,2,Thursday,1,Spring,Clear,2,2,0,6.5600000000000005,64.0,0.0,Holiday
2011-01-06,2011,Jan,4,Thursday,1,Spring,Cloudy,1,1,0,6.5600000000000005,64.0,6.0032,Holiday
2011-01-06,2011,Jan,5,Thursday,1,Spring,Cloudy,4,4,0,5.74,69.0,6.0032,Holiday
2011-01-06,2011,Jan,6,Thursday,1,Spring,Cloudy,36,36,0,5.74,63.0,7.0015,Holiday
2011-01-06,2011,Jan,7,Thursday,1,Spring,Cloudy,95,95,0,6.5600000000000005,59.0,0.0,Holiday
2011-01-06,2011,Jan,8,Thursday,1,Spring,Clear,219,216,3,6.5600000000000005,59.0,0.0,Holiday
2011-01-06,2011,Jan,9,Thursday,1,Spring,Cloudy,122,116,6,7.38,51.0,0.0,Holiday
2011-01-06,2011,Jan,10,Thursday,1,Spring,Clear,45,42,3,8.200000000000001,47.0,0.0,Holiday
2011-01-06,2011,Jan,11,Thursday,1,Spring,Clear,59,57,2,9.02,44.0,6.0032,Holiday
2011-01-06,2011,Jan,12,Thursday,1,Spring,Clear,84,78,6,10.66,35.0,0.0,Holiday
2011-01-06,2011,Jan,13,Thursday,1,Spring,Clear,67,55,12,10.66,35.0,7.0015,Holiday
2011-01-06,2011,Jan,14,Thursday,1,Spring,Clear,70,59,11,11.48,36.0,11.0014,Holiday
2011-01-06,2011,Jan,15,Thursday,1,Spring,Clear,62,54,8,11.48,36.0,0.0,Holiday
2011-01-06,2011,Jan,16,Thursday,1,Spring,Clear,86,74,12,10.66,38.0,11.0014,Holiday
2011-01-06,2011,Jan,17,Thursday,1,Spring,Clear,172,163,9,9.02,51.0,11.0014,Holiday
2011-01-06,2011,Jan,18,Thursday,1,Spring,Clear,163,158,5,9.02,51.0,8.9981,Holiday
2011-01-06,2011,Jan,19,Thursday,1,Spring,Clear,112,109,3,9.02,55.00000000000001,6.0032,Holiday
2011-01-06,2011,Jan,20,Thursday,1,Spring,Clear,69,66,3,8.200000000000001,51.0,11.0014,Holiday
2011-01-06,2011,Jan,21,Thursday,1,Spring,Cloudy,48,48,0,9.02,55.00000000000001,15.001299999999999,Holiday
2011-01-06,2011,Jan,22,Thursday,1,Spring,Cloudy,52,51,1,9.02,51.0,19.0012,Holiday
2011-01-06,2011,Jan,23,Thursday,1,Spring,Cloudy,23,19,4,8.200000000000001,59.0,12.998000000000001,Holiday
2011-01-07,2011,Jan,0,Friday,1,Spring,Cloudy,17,13,4,8.200000000000001,64.0,12.998000000000001,Holiday
2011-01-07,2011,Jan,1,Friday,1,Spring,Cloudy,7,5,2,8.200000000000001,69.0,15.001299999999999,Holiday
2011-01-07,2011,Jan,2,Friday,1,Spring,Cloudy,1,1,0,8.200000000000001,69.0,15.001299999999999,Holiday
2011-01-07,2011,Jan,4,Friday,1,Spring,Cloudy,1,1,0,8.200000000000001,69.0,8.9981,Holiday
2011-01-07,2011,Jan,5,Friday,1,Spring,Light Snow/Rain,5,5,0,9.02,55.00000000000001,0.0,Holiday
2011-01-07,2011,Jan,6,Friday,1,Spring,Cloudy,34,26,8,8.200000000000001,69.0,0.0,Holiday
2011-01-07,2011,Jan,7,Friday,1,Spring,Clear,84,76,8,8.200000000000001,69.0,8.9981,Holiday
2011-01-07,2011,Jan,8,Friday,1,Spring,Clear,210,190,20,8.200000000000001,51.0,16.997899999999998,Holiday
2011-01-07,2011,Jan,9,Friday,1,Spring,Clear,134,125,9,8.200000000000001,47.0,19.999499999999998,Holiday
2011-01-07,2011,Jan,10,Friday,1,Spring,Clear,63,47,16,9.02,37.0,22.0028,Holiday
2011-01-07,2011,Jan,11,Friday,1,Spring,Cloudy,67,48,19,8.200000000000001,40.0,15.001299999999999,Holiday
2011-01-07,2011,Jan,12,Friday,1,Spring,Cloudy,59,50,9,8.200000000000001,37.0,16.997899999999998,Holiday
2011-01-07,2011,Jan,13,Friday,1,Spring,Cloudy,73,64,9,8.200000000000001,37.0,19.0012,Holiday
2011-01-07,2011,Jan,14,Friday,1,Spring,Cloudy,50,43,7,8.200000000000001,40.0,16.997899999999998,Holiday
2011-01-07,2011,Jan,15,Friday,1,Spring,Cloudy,72,63,9,8.200000000000001,37.0,11.0014,Holiday
2011-01-07,2011,Jan,16,Friday,1,Spring,Cloudy,87,82,5,8.200000000000001,37.0,11.0014,Holiday
2011-01-07,2011,Jan,17,Friday,1,Spring,Cloudy,187,178,9,8.200000000000001,37.0,0.0,Holiday
2011-01-07,2011,Jan,18,Friday,1,Spring,Clear,123,116,7,8.200000000000001,40.0,6.0032,Holiday
2011-01-07,2011,Jan,19,Friday,1,Spring,Clear,95,92,3,6.5600000000000005,55.00000000000001,6.0032,Holiday
2011-01-07,2011,Jan,20,Friday,1,Spring,Clear,51,50,1,7.38,47.0,7.0015,Holiday
2011-01-07,2011,Jan,21,Friday,1,Spring,Clear,39,39,0,7.38,47.0,8.9981,Holiday
2011-01-07,2011,Jan,22,Friday,1,Spring,Cloudy,36,34,2,7.38,43.0,11.0014,Holiday
2011-01-07,2011,Jan,23,Friday,1,Spring,Cloudy,15,14,1,7.38,51.0,11.0014,Holiday
2011-01-08,2011,Jan,0,Saturday,0,Spring,Cloudy,25,24,1,7.38,51.0,11.0014,Holiday
2011-01-08,2011,Jan,1,Saturday,0,Spring,Cloudy,16,15,1,7.38,55.00000000000001,6.0032,Holiday
2011-01-08,2011,Jan,2,Saturday,0,Spring,Cloudy,16,13,3,7.38,55.00000000000001,0.0,Holiday
2011-01-08,2011,Jan,3,Saturday,0,Spring,Light Snow/Rain,7,7,0,7.38,55.00000000000001,11.0014,Holiday
2011-01-08,2011,Jan,4,Saturday,0,Spring,Light Snow/Rain,1,1,0,7.38,55.00000000000001,11.0014,Holiday
2011-01-08,2011,Jan,5,Saturday,0,Spring,Cloudy,5,5,0,6.5600000000000005,74.0,11.0014,Holiday
2011-01-08,2011,Jan,6,Saturday,0,Spring,Cloudy,2,2,0,6.5600000000000005,74.0,11.0014,Holiday
2011-01-08,2011,Jan,7,Saturday,0,Spring,Cloudy,9,8,1,6.5600000000000005,74.0,7.0015,Holiday
2011-01-08,2011,Jan,8,Saturday,0,Spring,Light Snow/Rain,15,15,0,6.5600000000000005,93.0,7.0015,Holiday
2011-01-08,2011,Jan,9,Saturday,0,Spring,Light Snow/Rain,20,20,0,6.5600000000000005,93.0,7.0015,Holiday
2011-01-08,2011,Jan,10,Saturday,0,Spring,Cloudy,61,56,5,7.38,80.0,11.0014,Holiday
2011-01-08,2011,Jan,11,Saturday,0,Spring,Cloudy,62,60,2,8.200000000000001,69.0,26.0027,Holiday
2011-01-08,2011,Jan,12,Saturday,0,Spring,Cloudy,98,90,8,8.200000000000001,59.0,23.9994,Holiday
2011-01-08,2011,Jan,13,Saturday,0,Spring,Clear,102,95,7,8.200000000000001,44.0,22.0028,Holiday
2011-01-08,2011,Jan,14,Saturday,0,Spring,Clear,95,83,12,8.200000000000001,32.0,32.9975,Holiday
2011-01-08,2011,Jan,15,Saturday,0,Spring,Clear,74,69,5,8.200000000000001,32.0,30.002599999999997,Holiday
2011-01-08,2011,Jan,16,Saturday,0,Spring,Clear,76,68,8,7.38,28.999999999999996,30.002599999999997,Holiday
2011-01-08,2011,Jan,17,Saturday,0,Spring,Clear,69,64,5,6.5600000000000005,37.0,36.9974,Holiday
2011-01-08,2011,Jan,18,Saturday,0,Spring,Clear,55,52,3,5.74,39.0,19.999499999999998,Holiday
2011-01-08,2011,Jan,19,Saturday,0,Spring,Clear,30,26,4,5.74,36.0,16.997899999999998,Holiday
2011-01-08,2011,Jan,20,Saturday,0,Spring,Clear,28,28,0,4.92,36.0,16.997899999999998,Holiday
2011-01-08,2011,Jan,21,Saturday,0,Spring,Clear,37,35,2,4.92,39.0,23.9994,Holiday
2011-01-08,2011,Jan,22,Saturday,0,Spring,Clear,34,33,1,4.92,36.0,26.0027,Holiday
2011-01-08,2011,Jan,23,Saturday,0,Spring,Clear,22,22,0,4.1000000000000005,39.0,30.002599999999997,Holiday
2011-01-09,2011,Jan,0,Sunday,0,Spring,Clear,25,24,1,4.1000000000000005,42.0,26.0027,Holiday
2011-01-09,2011,Jan,1,Sunday,0,Spring,Clear,12,12,0,4.1000000000000005,42.0,31.0009,Holiday
2011-01-09,2011,Jan,2,Sunday,0,Spring,Clear,11,11,0,4.1000000000000005,46.0,31.0009,Holiday
2011-01-09,2011,Jan,3,Sunday,0,Spring,Clear,4,4,0,4.1000000000000005,46.0,27.999299999999998,Holiday
2011-01-09,2011,Jan,4,Sunday,0,Spring,Clear,1,1,0,3.2800000000000002,53.0,12.998000000000001,Holiday
2011-01-09,2011,Jan,5,Sunday,0,Spring,Clear,1,1,0,3.2800000000000002,53.0,12.998000000000001,Holiday
2011-01-09,2011,Jan,6,Sunday,0,Spring,Clear,1,1,0,4.1000000000000005,49.0,19.0012,Holiday
2011-01-09,2011,Jan,7,Sunday,0,Spring,Clear,6,5,1,3.2800000000000002,53.0,12.998000000000001,Holiday
2011-01-09,2011,Jan,8,Sunday,0,Spring,Clear,10,10,0,4.1000000000000005,49.0,19.0012,Holiday
2011-01-09,2011,Jan,9,Sunday,0,Spring,Clear,19,19,0,4.92,46.0,35.0008,Holiday
2011-01-09,2011,Jan,10,Sunday,0,Spring,Clear,49,49,0,5.74,43.0,26.0027,Holiday
2011-01-09,2011,Jan,11,Sunday,0,Spring,Clear,49,47,2,6.5600000000000005,40.0,35.0008,Holiday
2011-01-09,2011,Jan,12,Sunday,0,Spring,Clear,83,79,4,7.38,37.0,30.002599999999997,Holiday
2011-01-09,2011,Jan,13,Sunday,0,Spring,Clear,75,69,6,8.200000000000001,34.0,30.002599999999997,Holiday
2011-01-09,2011,Jan,14,Sunday,0,Spring,Clear,72,64,8,9.02,32.0,31.0009,Holiday
2011-01-09,2011,Jan,15,Sunday,0,Spring,Clear,82,77,5,9.02,35.0,23.9994,Holiday
2011-01-09,2011,Jan,16,Sunday,0,Spring,Clear,92,79,13,8.200000000000001,34.0,30.002599999999997,Holiday
2011-01-09,2011,Jan,17,Sunday,0,Spring,Clear,62,59,3,7.38,37.0,26.0027,Holiday
2011-01-09,2011,Jan,18,Sunday,0,Spring,Clear,48,44,4,6.5600000000000005,40.0,22.0028,Holiday
2011-01-09,2011,Jan,19,Sunday,0,Spring,Clear,41,40,1,6.5600000000000005,43.0,22.0028,Holiday
2011-01-09,2011,Jan,20,Sunday,0,Spring,Clear,38,38,0,5.74,46.0,16.997899999999998,Holiday
2011-01-09,2011,Jan,21,Sunday,0,Spring,Clear,20,19,1,5.74,46.0,27.999299999999998,Holiday
2011-01-09,2011,Jan,22,Sunday,0,Spring,Clear,15,10,5,5.74,46.0,19.999499999999998,Holiday
2011-01-09,2011,Jan,23,Sunday,0,Spring,Clear,6,6,0,4.92,50.0,12.998000000000001,Holiday
2011-01-10,2011,Jan,0,Monday,1,Spring,Clear,5,3,2,4.92,50.0,19.0012,Holiday
2011-01-10,2011,Jan,1,Monday,1,Spring,Clear,1,0,1,4.92,50.0,19.0012,Holiday
2011-01-10,2011,Jan,2,Monday,1,Spring,Clear,3,3,0,4.92,50.0,15.001299999999999,Holiday
2011-01-10,2011,Jan,3,Monday,1,Spring,Clear,1,1,0,4.92,50.0,15.001299999999999,Holiday
2011-01-10,2011,Jan,4,Monday,1,Spring,Clear,3,2,1,4.1000000000000005,54.0,8.9981,Holiday
2011-01-10,2011,Jan,5,Monday,1,Spring,Clear,3,3,0,4.1000000000000005,54.0,16.997899999999998,Holiday
2011-01-10,2011,Jan,6,Monday,1,Spring,Clear,31,31,0,4.92,50.0,19.0012,Holiday
2011-01-10,2011,Jan,7,Monday,1,Spring,Clear,77,75,2,4.92,50.0,15.001299999999999,Holiday
2011-01-10,2011,Jan,8,Monday,1,Spring,Cloudy,188,184,4,4.92,50.0,19.0012,Holiday
2011-01-10,2011,Jan,9,Monday,1,Spring,Cloudy,94,92,2,5.74,50.0,16.997899999999998,Holiday
2011-01-10,2011,Jan,10,Monday,1,Spring,Cloudy,31,31,0,5.74,50.0,19.999499999999998,Holiday
2011-01-10,2011,Jan,11,Monday,1,Spring,Cloudy,30,28,2,6.5600000000000005,47.0,19.0012,Holiday
2011-01-10,2011,Jan,12,Monday,1,Spring,Cloudy,52,47,5,8.200000000000001,40.0,19.0012,Holiday
2011-01-10,2011,Jan,13,Monday,1,Spring,Cloudy,54,50,4,8.200000000000001,40.0,19.0012,Holiday
2011-01-10,2011,Jan,14,Monday,1,Spring,Cloudy,47,47,0,8.200000000000001,40.0,15.001299999999999,Holiday
2011-01-10,2011,Jan,15,Monday,1,Spring,Cloudy,45,43,2,8.200000000000001,40.0,15.001299999999999,Holiday
2011-01-10,2011,Jan,16,Monday,1,Spring,Clear,74,70,4,8.200000000000001,40.0,8.9981,Holiday
2011-01-10,2011,Jan,17,Monday,1,Spring,Clear,178,174,4,8.200000000000001,40.0,7.0015,Holiday
2011-01-10,2011,Jan,18,Monday,1,Spring,Clear,155,154,1,8.200000000000001,40.0,15.001299999999999,Holiday
2011-01-10,2011,Jan,19,Monday,1,Spring,Clear,95,92,3,6.5600000000000005,47.0,11.0014,Holiday
2011-01-10,2011,Jan,20,Monday,1,Spring,Clear,74,73,1,6.5600000000000005,50.0,11.0014,Holiday
2011-01-10,2011,Jan,21,Monday,1,Spring,Clear,38,37,1,5.74,59.0,12.998000000000001,Holiday
2011-01-10,2011,Jan,22,Monday,1,Spring,Clear,24,22,2,5.74,59.0,11.0014,Holiday
2011-01-10,2011,Jan,23,Monday,1,Spring,Clear,18,18,0,5.74,59.0,11.0014,Holiday
2011-01-11,2011,Jan,0,Tuesday,1,Spring,Clear,12,10,2,5.74,59.0,7.0015,Holiday
2011-01-11,2011,Jan,1,Tuesday,1,Spring,Clear,3,3,0,5.74,59.0,11.0014,Holiday
